10.11.2022
10:22

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.427057E-05
-90	-9.000000E-02	-3.984867E-05
-80	-8.000000E-02	-3.542998E-05
-70	-7.000000E-02	-3.100974E-05
-60	-6.000000E-02	-2.658672E-05
-50	-5.000000E-02	-2.216504E-05
-40	-4.000000E-02	-1.774525E-05
-30	-3.000000E-02	-1.332395E-05
-20	-2.000000E-02	-8.915252E-06
-10	-1.000000E-02	-4.486207E-06
0	+0.000000E+00	-6.197271E-08
10	+1.000000E-02	+4.406663E-06
20	+2.000000E-02	+8.831114E-06
30	+3.000000E-02	+1.324375E-05
40	+4.000000E-02	+1.766448E-05
50	+5.000000E-02	+2.208466E-05
60	+6.000000E-02	+2.650723E-05
70	+7.000000E-02	+3.092664E-05
80	+8.000000E-02	+3.534599E-05
90	+9.000000E-02	+3.976828E-05
100	+1.000000E-01	+4.418742E-05
