25.11.2022
11:10

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.519243E-05
-95	-9.500000E-02	-4.293511E-05
-90	-9.000000E-02	-4.067882E-05
-85	-8.500000E-02	-3.842299E-05
-80	-8.000000E-02	-3.616581E-05
-75	-7.500000E-02	-3.390986E-05
-70	-7.000000E-02	-3.165298E-05
-65	-6.500000E-02	-2.939662E-05
-60	-6.000000E-02	-2.713637E-05
-55	-5.500000E-02	-2.488118E-05
-50	-5.000000E-02	-2.262472E-05
-45	-4.500000E-02	-2.036856E-05
-40	-4.000000E-02	-1.811162E-05
-35	-3.500000E-02	-1.585641E-05
-30	-3.000000E-02	-1.359719E-05
-25	-2.500000E-02	-1.134044E-05
-20	-2.000000E-02	-9.097969E-06
-15	-1.500000E-02	-6.838176E-06
-10	-1.000000E-02	-4.576486E-06
-5	-5.000000E-03	-2.315617E-06
0	+0.000000E+00	-5.978035E-08
5	+5.000000E-03	+2.243585E-06
10	+1.000000E-02	+4.502052E-06
15	+1.500000E-02	+6.760224E-06
20	+2.000000E-02	+9.019689E-06
25	+2.500000E-02	+1.126645E-05
30	+3.000000E-02	+1.352592E-05
35	+3.500000E-02	+1.578067E-05
40	+4.000000E-02	+1.803767E-05
45	+4.500000E-02	+2.029344E-05
50	+5.000000E-02	+2.254992E-05
55	+5.500000E-02	+2.480762E-05
60	+6.000000E-02	+2.706384E-05
65	+6.500000E-02	+2.932101E-05
70	+7.000000E-02	+3.157614E-05
75	+7.500000E-02	+3.383268E-05
80	+8.000000E-02	+3.608779E-05
85	+8.500000E-02	+3.834566E-05
90	+9.000000E-02	+4.060257E-05
95	+9.500000E-02	+4.285737E-05
100	+1.000000E-01	+4.511246E-05
