10.11.2022
10:22

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.426283E-05
-90	-9.000000E-02	-3.984166E-05
-80	-8.000000E-02	-3.542280E-05
-70	-7.000000E-02	-3.100310E-05
-60	-6.000000E-02	-2.657960E-05
-50	-5.000000E-02	-2.216012E-05
-40	-4.000000E-02	-1.774083E-05
-30	-3.000000E-02	-1.332035E-05
-20	-2.000000E-02	-8.912698E-06
-10	-1.000000E-02	-4.484379E-06
0	+0.000000E+00	-6.222412E-08
10	+1.000000E-02	+4.405634E-06
20	+2.000000E-02	+8.829479E-06
30	+3.000000E-02	+1.324203E-05
40	+4.000000E-02	+1.766134E-05
50	+5.000000E-02	+2.208047E-05
60	+6.000000E-02	+2.650115E-05
70	+7.000000E-02	+3.092032E-05
80	+8.000000E-02	+3.533910E-05
90	+9.000000E-02	+3.976011E-05
100	+1.000000E-01	+4.417809E-05
