25.11.2022
11:08

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.517873E-05
-95	-9.500000E-02	-4.292147E-05
-90	-9.000000E-02	-4.066590E-05
-85	-8.500000E-02	-3.841044E-05
-80	-8.000000E-02	-3.615518E-05
-75	-7.500000E-02	-3.389856E-05
-70	-7.000000E-02	-3.164190E-05
-65	-6.500000E-02	-2.938611E-05
-60	-6.000000E-02	-2.712862E-05
-55	-5.500000E-02	-2.487381E-05
-50	-5.000000E-02	-2.261813E-05
-45	-4.500000E-02	-2.036127E-05
-40	-4.000000E-02	-1.810625E-05
-35	-3.500000E-02	-1.585050E-05
-30	-3.000000E-02	-1.359326E-05
-25	-2.500000E-02	-1.133680E-05
-20	-2.000000E-02	-9.094632E-06
-15	-1.500000E-02	-6.835311E-06
-10	-1.000000E-02	-4.574890E-06
-5	-5.000000E-03	-2.314636E-06
0	+0.000000E+00	-5.976485E-08
5	+5.000000E-03	+2.242643E-06
10	+1.000000E-02	+4.500710E-06
15	+1.500000E-02	+6.757880E-06
20	+2.000000E-02	+9.016628E-06
25	+2.500000E-02	+1.126191E-05
30	+3.000000E-02	+1.351998E-05
35	+3.500000E-02	+1.577544E-05
40	+4.000000E-02	+1.803104E-05
45	+4.500000E-02	+2.028683E-05
50	+5.000000E-02	+2.254228E-05
55	+5.500000E-02	+2.480029E-05
60	+6.000000E-02	+2.705581E-05
65	+6.500000E-02	+2.931068E-05
70	+7.000000E-02	+3.156631E-05
75	+7.500000E-02	+3.382186E-05
80	+8.000000E-02	+3.607701E-05
85	+8.500000E-02	+3.833365E-05
90	+9.000000E-02	+4.058935E-05
95	+9.500000E-02	+4.284405E-05
100	+1.000000E-01	+4.509855E-05
