25.11.2022
11:11

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.519396E-05
-95	-9.500000E-02	-4.293600E-05
-90	-9.000000E-02	-4.067901E-05
-85	-8.500000E-02	-3.842293E-05
-80	-8.000000E-02	-3.616578E-05
-75	-7.500000E-02	-3.390953E-05
-70	-7.000000E-02	-3.165249E-05
-65	-6.500000E-02	-2.939653E-05
-60	-6.000000E-02	-2.713802E-05
-55	-5.500000E-02	-2.488116E-05
-50	-5.000000E-02	-2.262459E-05
-45	-4.500000E-02	-2.036841E-05
-40	-4.000000E-02	-1.811209E-05
-35	-3.500000E-02	-1.585670E-05
-30	-3.000000E-02	-1.359877E-05
-25	-2.500000E-02	-1.134083E-05
-20	-2.000000E-02	-9.097848E-06
-15	-1.500000E-02	-6.837307E-06
-10	-1.000000E-02	-4.576376E-06
-5	-5.000000E-03	-2.315617E-06
0	+0.000000E+00	-5.851391E-08
5	+5.000000E-03	+2.243837E-06
10	+1.000000E-02	+4.501920E-06
15	+1.500000E-02	+6.761707E-06
20	+2.000000E-02	+9.021073E-06
25	+2.500000E-02	+1.126650E-05
30	+3.000000E-02	+1.352626E-05
35	+3.500000E-02	+1.578151E-05
40	+4.000000E-02	+1.803774E-05
45	+4.500000E-02	+2.029483E-05
50	+5.000000E-02	+2.255201E-05
55	+5.500000E-02	+2.480893E-05
60	+6.000000E-02	+2.706630E-05
65	+6.500000E-02	+2.932187E-05
70	+7.000000E-02	+3.157886E-05
75	+7.500000E-02	+3.383522E-05
80	+8.000000E-02	+3.609246E-05
85	+8.500000E-02	+3.834719E-05
90	+9.000000E-02	+4.060322E-05
95	+9.500000E-02	+4.286016E-05
100	+1.000000E-01	+4.511415E-05
