25.11.2022
11:06

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.516402E-05
-95	-9.500000E-02	-4.290733E-05
-90	-9.000000E-02	-4.065157E-05
-85	-8.500000E-02	-3.839826E-05
-80	-8.000000E-02	-3.614304E-05
-75	-7.500000E-02	-3.388761E-05
-70	-7.000000E-02	-3.163384E-05
-65	-6.500000E-02	-2.937799E-05
-60	-6.000000E-02	-2.712063E-05
-55	-5.500000E-02	-2.486510E-05
-50	-5.000000E-02	-2.261139E-05
-45	-4.500000E-02	-2.035525E-05
-40	-4.000000E-02	-1.810174E-05
-35	-3.500000E-02	-1.584690E-05
-30	-3.000000E-02	-1.358987E-05
-25	-2.500000E-02	-1.133317E-05
-20	-2.000000E-02	-9.092980E-06
-15	-1.500000E-02	-6.835023E-06
-10	-1.000000E-02	-4.574552E-06
-5	-5.000000E-03	-2.315777E-06
0	+0.000000E+00	-6.117039E-08
5	+5.000000E-03	+2.240092E-06
10	+1.000000E-02	+4.496941E-06
15	+1.500000E-02	+6.754023E-06
20	+2.000000E-02	+9.012880E-06
25	+2.500000E-02	+1.125677E-05
30	+3.000000E-02	+1.351445E-05
35	+3.500000E-02	+1.576937E-05
40	+4.000000E-02	+1.802470E-05
45	+4.500000E-02	+2.027935E-05
50	+5.000000E-02	+2.253435E-05
55	+5.500000E-02	+2.479002E-05
60	+6.000000E-02	+2.704544E-05
65	+6.500000E-02	+2.929962E-05
70	+7.000000E-02	+3.155524E-05
75	+7.500000E-02	+3.380982E-05
80	+8.000000E-02	+3.606382E-05
85	+8.500000E-02	+3.832017E-05
90	+9.000000E-02	+4.057512E-05
95	+9.500000E-02	+4.282860E-05
100	+1.000000E-01	+4.508327E-05
