25.11.2022
11:09

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.518246E-05
-95	-9.500000E-02	-4.292553E-05
-90	-9.000000E-02	-4.066925E-05
-85	-8.500000E-02	-3.841315E-05
-80	-8.000000E-02	-3.615669E-05
-75	-7.500000E-02	-3.390233E-05
-70	-7.000000E-02	-3.164549E-05
-65	-6.500000E-02	-2.938942E-05
-60	-6.000000E-02	-2.713126E-05
-55	-5.500000E-02	-2.487651E-05
-50	-5.000000E-02	-2.261908E-05
-45	-4.500000E-02	-2.036221E-05
-40	-4.000000E-02	-1.810665E-05
-35	-3.500000E-02	-1.585193E-05
-30	-3.000000E-02	-1.359391E-05
-25	-2.500000E-02	-1.133723E-05
-20	-2.000000E-02	-9.094187E-06
-15	-1.500000E-02	-6.835314E-06
-10	-1.000000E-02	-4.574460E-06
-5	-5.000000E-03	-2.313295E-06
0	+0.000000E+00	-5.899225E-08
5	+5.000000E-03	+2.243097E-06
10	+1.000000E-02	+4.500845E-06
15	+1.500000E-02	+6.758447E-06
20	+2.000000E-02	+9.018118E-06
25	+2.500000E-02	+1.126281E-05
30	+3.000000E-02	+1.352198E-05
35	+3.500000E-02	+1.577762E-05
40	+4.000000E-02	+1.803376E-05
45	+4.500000E-02	+2.028821E-05
50	+5.000000E-02	+2.254475E-05
55	+5.500000E-02	+2.480278E-05
60	+6.000000E-02	+2.705854E-05
65	+6.500000E-02	+2.931536E-05
70	+7.000000E-02	+3.157086E-05
75	+7.500000E-02	+3.382660E-05
80	+8.000000E-02	+3.608130E-05
85	+8.500000E-02	+3.833797E-05
90	+9.000000E-02	+4.059447E-05
95	+9.500000E-02	+4.284951E-05
100	+1.000000E-01	+4.510576E-05
