25.11.2022
11:10

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.518766E-05
-95	-9.500000E-02	-4.293103E-05
-90	-9.000000E-02	-4.067414E-05
-85	-8.500000E-02	-3.841897E-05
-80	-8.000000E-02	-3.616199E-05
-75	-7.500000E-02	-3.390593E-05
-70	-7.000000E-02	-3.165012E-05
-65	-6.500000E-02	-2.939342E-05
-60	-6.000000E-02	-2.713620E-05
-55	-5.500000E-02	-2.487939E-05
-50	-5.000000E-02	-2.262275E-05
-45	-4.500000E-02	-2.036635E-05
-40	-4.000000E-02	-1.811082E-05
-35	-3.500000E-02	-1.585345E-05
-30	-3.000000E-02	-1.359680E-05
-25	-2.500000E-02	-1.133820E-05
-20	-2.000000E-02	-9.096355E-06
-15	-1.500000E-02	-6.836462E-06
-10	-1.000000E-02	-4.575213E-06
-5	-5.000000E-03	-2.314217E-06
0	+0.000000E+00	-5.903486E-08
5	+5.000000E-03	+2.242708E-06
10	+1.000000E-02	+4.501167E-06
15	+1.500000E-02	+6.759340E-06
20	+2.000000E-02	+9.018408E-06
25	+2.500000E-02	+1.126375E-05
30	+3.000000E-02	+1.352308E-05
35	+3.500000E-02	+1.577898E-05
40	+4.000000E-02	+1.803483E-05
45	+4.500000E-02	+2.029151E-05
50	+5.000000E-02	+2.254893E-05
55	+5.500000E-02	+2.480610E-05
60	+6.000000E-02	+2.706110E-05
65	+6.500000E-02	+2.931747E-05
70	+7.000000E-02	+3.157454E-05
75	+7.500000E-02	+3.383029E-05
80	+8.000000E-02	+3.608527E-05
85	+8.500000E-02	+3.834244E-05
90	+9.000000E-02	+4.059776E-05
95	+9.500000E-02	+4.285440E-05
100	+1.000000E-01	+4.510982E-05
