25.11.2022
11:11

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.519192E-05
-95	-9.500000E-02	-4.293450E-05
-90	-9.000000E-02	-4.067701E-05
-85	-8.500000E-02	-3.842237E-05
-80	-8.000000E-02	-3.616472E-05
-75	-7.500000E-02	-3.390880E-05
-70	-7.000000E-02	-3.165243E-05
-65	-6.500000E-02	-2.939637E-05
-60	-6.000000E-02	-2.713781E-05
-55	-5.500000E-02	-2.488164E-05
-50	-5.000000E-02	-2.262510E-05
-45	-4.500000E-02	-2.036787E-05
-40	-4.000000E-02	-1.811196E-05
-35	-3.500000E-02	-1.585458E-05
-30	-3.000000E-02	-1.359822E-05
-25	-2.500000E-02	-1.134034E-05
-20	-2.000000E-02	-9.097414E-06
-15	-1.500000E-02	-6.837625E-06
-10	-1.000000E-02	-4.575822E-06
-5	-5.000000E-03	-2.315525E-06
0	+0.000000E+00	-5.889082E-08
5	+5.000000E-03	+2.242487E-06
10	+1.000000E-02	+4.501268E-06
15	+1.500000E-02	+6.759565E-06
20	+2.000000E-02	+9.019344E-06
25	+2.500000E-02	+1.126472E-05
30	+3.000000E-02	+1.352419E-05
35	+3.500000E-02	+1.578116E-05
40	+4.000000E-02	+1.803706E-05
45	+4.500000E-02	+2.029332E-05
50	+5.000000E-02	+2.255042E-05
55	+5.500000E-02	+2.480821E-05
60	+6.000000E-02	+2.706370E-05
65	+6.500000E-02	+2.931994E-05
70	+7.000000E-02	+3.157640E-05
75	+7.500000E-02	+3.383316E-05
80	+8.000000E-02	+3.608867E-05
85	+8.500000E-02	+3.834660E-05
90	+9.000000E-02	+4.060228E-05
95	+9.500000E-02	+4.285805E-05
100	+1.000000E-01	+4.511342E-05
