25.11.2022
11:04

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.515750E-05
-95	-9.500000E-02	-4.290153E-05
-90	-9.000000E-02	-4.064717E-05
-85	-8.500000E-02	-3.839316E-05
-80	-8.000000E-02	-3.613766E-05
-75	-7.500000E-02	-3.388357E-05
-70	-7.000000E-02	-3.162784E-05
-65	-6.500000E-02	-2.937422E-05
-60	-6.000000E-02	-2.711705E-05
-55	-5.500000E-02	-2.486249E-05
-50	-5.000000E-02	-2.260735E-05
-45	-4.500000E-02	-2.035223E-05
-40	-4.000000E-02	-1.809742E-05
-35	-3.500000E-02	-1.584246E-05
-30	-3.000000E-02	-1.358738E-05
-25	-2.500000E-02	-1.133150E-05
-20	-2.000000E-02	-9.090257E-06
-15	-1.500000E-02	-6.832565E-06
-10	-1.000000E-02	-4.572659E-06
-5	-5.000000E-03	-2.314012E-06
0	+0.000000E+00	-6.044192E-08
5	+5.000000E-03	+2.241549E-06
10	+1.000000E-02	+4.498258E-06
15	+1.500000E-02	+6.754872E-06
20	+2.000000E-02	+9.013538E-06
25	+2.500000E-02	+1.125708E-05
30	+3.000000E-02	+1.351457E-05
35	+3.500000E-02	+1.576902E-05
40	+4.000000E-02	+1.802474E-05
45	+4.500000E-02	+2.027893E-05
50	+5.000000E-02	+2.253265E-05
55	+5.500000E-02	+2.478909E-05
60	+6.000000E-02	+2.704437E-05
65	+6.500000E-02	+2.929743E-05
70	+7.000000E-02	+3.155214E-05
75	+7.500000E-02	+3.380662E-05
80	+8.000000E-02	+3.606126E-05
85	+8.500000E-02	+3.831655E-05
90	+9.000000E-02	+4.057154E-05
95	+9.500000E-02	+4.282507E-05
100	+1.000000E-01	+4.507960E-05
