10.11.2022
10:24

U	U_rueck	I
mV	V	A

-100	-1.000000E-01	-4.428928E-05
-90	-9.000000E-02	-3.986508E-05
-80	-8.000000E-02	-3.544377E-05
-70	-7.000000E-02	-3.102204E-05
-60	-6.000000E-02	-2.659678E-05
-50	-5.000000E-02	-2.217458E-05
-40	-4.000000E-02	-1.775185E-05
-30	-3.000000E-02	-1.332840E-05
-20	-2.000000E-02	-8.917832E-06
-10	-1.000000E-02	-4.487359E-06
0	+0.000000E+00	-6.123169E-08
10	+1.000000E-02	+4.408860E-06
20	+2.000000E-02	+8.836178E-06
30	+3.000000E-02	+1.324824E-05
40	+4.000000E-02	+1.767258E-05
50	+5.000000E-02	+2.209524E-05
60	+6.000000E-02	+2.651871E-05
70	+7.000000E-02	+3.094058E-05
80	+8.000000E-02	+3.536223E-05
90	+9.000000E-02	+3.978642E-05
100	+1.000000E-01	+4.420646E-05
